Mapa,Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Time1,Score_T1,Time2,Score_T2,target,Impacto_Ofensivo,Impacto_Suporte,Impacto_Geral
AllMaps,Okeanos,EG,Waylay,0.7,124.0,22,31,9,-9,69.0,80.0,39.0,6.0,8.0,-2.0,ENVY,19,EG,29,1,0.488,0.334,0.822
AllMaps,N4RRATE,SEN,Neon,1.08,248.0,41,38,7,3,71.0,155.0,23.0,13.0,5.0,8.0,SEN,22,LEV,27,0,0.737,0.394,1.132
AllMaps,Reduxx,SEN,Waylay,1.0,184.0,33,30,6,3,69.0,122.0,26.0,6.0,10.0,-4.0,SEN,22,LEV,27,0,0.681,0.328,1.009
AllMaps,Kyu,SEN,Sova,0.92,183.0,30,33,14,-3,65.0,115.0,25.0,3.0,6.0,-3.0,SEN,22,LEV,27,0,0.576,0.347,0.922
AllMaps,cortezia,SEN,Viper,0.85,174.0,32,37,5,-5,61.0,120.0,38.0,2.0,4.0,-2.0,SEN,22,LEV,27,0,0.538,0.292,0.83
AllMaps,johnqt,SEN,Omen,0.71,108.0,16,32,20,-16,67.0,74.0,23.0,0.0,0.0,0.0,SEN,22,LEV,27,0,0.405,0.368,0.773
AllMaps,Sato,LEV,Waylay,1.08,240.0,41,36,12,5,71.0,142.0,24.0,7.0,11.0,-4.0,SEN,22,LEV,27,1,0.756,0.374,1.13
AllMaps,kiNgg,LEV,Omen,1.06,197.0,36,31,13,5,71.0,122.0,44.0,5.0,3.0,2.0,SEN,22,LEV,27,1,0.744,0.41,1.155
AllMaps,blowz,LEV,Fade,1.02,156.0,28,25,13,3,67.0,101.0,28.0,0.0,2.0,-2.0,SEN,22,LEV,27,1,0.628,0.365,0.993
AllMaps,Neon,LEV,Chamber,1.01,171.0,32,28,7,4,67.0,114.0,25.0,9.0,4.0,5.0,SEN,22,LEV,27,1,0.684,0.38,1.064
AllMaps,spike,LEV,Viper,1.01,214.0,33,32,19,1,80.0,150.0,36.0,4.0,4.0,0.0,SEN,22,LEV,27,1,0.697,0.403,1.1
AllMaps,keiko,NRG,Killjoy,1.06,230.0,30,30,9,0,76.0,147.0,40.0,2.0,1.0,1.0,NRG,11,G2,26,0,0.682,0.419,1.102
AllMaps,skuba,NRG,Astra,0.91,193.0,23,30,11,-7,70.0,120.0,29.0,1.0,5.0,-4.0,NRG,11,G2,26,0,0.528,0.354,0.882
AllMaps,mada,NRG,Waylay,0.74,185.0,24,32,9,-8,68.0,115.0,37.0,3.0,12.0,-9.0,NRG,11,G2,26,0,0.542,0.333,0.875
AllMaps,Ethan,NRG,Tejo,0.6,143.0,15,33,9,-18,59.0,90.0,21.0,5.0,4.0,1.0,NRG,11,G2,26,0,0.443,0.333,0.776
AllMaps,brawk,NRG,Sova,0.57,119.0,12,31,12,-19,46.0,98.0,17.0,1.0,3.0,-2.0,NRG,11,G2,26,0,0.383,0.282,0.666
AllMaps,valyn,G2,Astra,1.42,233.0,32,18,17,14,84.0,162.0,29.0,3.0,1.0,2.0,NRG,11,G2,26,1,0.809,0.48,1.288
AllMaps,jawgemo,G2,Phoenix,1.39,308.0,40,25,17,15,81.0,182.0,18.0,11.0,3.0,8.0,NRG,11,G2,26,1,0.83,0.466,1.297
AllMaps,BABYBAY,G2,Yoru,1.32,250.0,35,21,13,14,78.0,159.0,20.0,8.0,2.0,6.0,NRG,11,G2,26,1,0.792,0.454,1.246
AllMaps,trent,G2,Sova,1.29,208.0,31,16,11,15,86.0,131.0,25.0,0.0,1.0,-1.0,NRG,11,G2,26,1,0.727,0.443,1.171
AllMaps,leaf,G2,Veto,0.76,148.0,18,24,9,-6,70.0,101.0,21.0,3.0,5.0,-2.0,NRG,11,G2,26,1,0.483,0.342,0.826
AllMaps,Cryocells,100T,Veto,1.31,239.0,47,31,2,16,71.0,156.0,29.0,9.0,8.0,1.0,100T,28,EG,24,1,0.796,0.361,1.157
AllMaps,vora,100T,Fade,1.01,176.0,30,35,22,-5,65.0,113.0,25.0,2.0,2.0,0.0,100T,28,EG,24,1,0.535,0.378,0.913
AllMaps,Asuna,100T,Omen,0.98,164.0,28,32,23,-4,63.0,111.0,24.0,2.0,3.0,-1.0,100T,28,EG,24,1,0.539,0.363,0.902
AllMaps,Timotino,100T,Neon,0.96,211.0,37,41,15,-4,62.0,138.0,36.0,8.0,7.0,1.0,100T,28,EG,24,1,0.607,0.376,0.983
