Mapa,Time1,Score_T1,Time2,Score_T2,target,Score_T1,R_T1,ACS_T1,KAST_T1,ADR_T1,HS%_T1,Impacto_T1,+/-_T1,FK_T1,FD_T1,+/-_FK_FD_T1,Score_T2,R_T2,ACS_T2,KAST_T2,ADR_T2,HS%_T2,Impacto_T2,+/-_T2,FK_T2,FD_T2,+/-_FK_FD_T2,delta_R,delta_ACS,delta_KAST,delta_ADR,delta_HS%,delta_Impacto
Ascent,LOUD,13,NRG,9,1,13,1.01,184.6,69.0,114.6,19.8,0.6368,3,9.0,13.0,-4.0,9,0.9339999999999999,180.6,67.2,119.0,24.0,0.6364,-3,13.0,9.0,4.0,0.07600000000000007,4.0,1.7999999999999972,-4.400000000000006,-4.199999999999999,0.00040000000000006697
Ascent,LOUD,13,SEN,8,1,13,1.206,216.2,82.8,132.6,19.2,0.711,24,11.0,10.0,1.0,8,0.79,171.4,57.2,115.2,20.4,0.5442,-24,10.0,11.0,-1.0,0.4159999999999999,44.79999999999998,25.599999999999994,17.39999999999999,-1.1999999999999993,0.16679999999999995
Ascent,LOUD,13,SEN,9,1,13,1.028,177.2,78.2,115.2,26.2,0.6426000000000001,-2,12.0,10.0,2.0,9,1.01,194.2,73.8,130.0,24.2,0.6372,2,10.0,12.0,-2.0,0.018000000000000016,-17.0,4.400000000000006,-14.799999999999997,2.0,0.005400000000000071
Ascent,MIBR,9,FUR,13,0,9,1.008,207.6,72.8,136.0,32.0,0.7202,8,13.0,9.0,4.0,13,0.984,196.4,69.0,133.2,34.8,0.6614,-8,9.0,13.0,-4.0,0.02400000000000002,11.199999999999989,3.799999999999997,2.8000000000000114,-2.799999999999997,0.05879999999999996
Ascent,MIBR,8,G2,13,0,8,0.8560000000000001,193.0,63.0,128.0,28.8,0.6048,-12,6.0,15.0,-9.0,13,1.1300000000000001,217.0,79.8,131.6,21.6,0.6839999999999999,12,15.0,6.0,9.0,-0.274,-24.0,-16.799999999999997,-3.5999999999999943,7.199999999999999,-0.07919999999999994
Ascent,MIBR,9,LEV,13,0,9,0.9460000000000001,190.4,74.6,129.2,28.2,0.6492,-1,14.0,8.0,6.0,13,1.09,201.8,67.4,136.8,28.0,0.6406,1,8.0,14.0,-6.0,-0.14400000000000002,-11.400000000000006,7.199999999999989,-7.600000000000023,0.1999999999999993,0.008600000000000052
Ascent,MIBR,6,SEN,13,0,6,0.77,169.0,60.2,113.8,37.0,0.5546,-21,7.0,12.0,-5.0,13,1.19,223.8,79.0,146.0,25.4,0.7672000000000001,21,12.0,7.0,5.0,-0.41999999999999993,-54.80000000000001,-18.799999999999997,-32.2,11.600000000000001,-0.21260000000000012
Ascent,NRG,7,C9,13,0,7,0.8140000000000001,175.8,66.0,114.6,19.8,0.5734,-21,12.0,8.0,4.0,13,1.222,226.2,76.0,149.0,28.6,0.7388,21,8.0,12.0,-4.0,-0.4079999999999999,-50.39999999999998,-10.0,-34.400000000000006,-8.8,-0.1654
Ascent,NRG,13,C9,3,1,13,1.282,218.0,83.8,133.4,24.8,0.7657999999999999,23,9.0,7.0,2.0,3,0.696,159.8,69.0,110.6,20.8,0.5054000000000001,-23,7.0,9.0,-2.0,0.5860000000000001,58.19999999999999,14.799999999999997,22.80000000000001,4.0,0.26039999999999985
Ascent,NRG,14,C9,12,1,14,1.026,202.0,75.4,133.8,23.2,0.673,-1,13.0,13.0,0.0,12,0.9959999999999999,203.0,79.0,135.6,24.0,0.6476,1,13.0,13.0,0.0,0.030000000000000138,-1.0,-3.5999999999999943,-1.799999999999983,-0.8000000000000007,0.02540000000000009
Ascent,NRG,6,EG,13,0,6,0.736,160.8,58.8,105.6,26.2,0.5264,-20,6.0,13.0,-7.0,13,1.324,222.2,79.0,146.6,29.4,0.7666000000000001,20,13.0,6.0,7.0,-0.5880000000000001,-61.39999999999998,-20.200000000000003,-41.0,-3.1999999999999993,-0.24020000000000008
Ascent,NRG,7,EG,13,0,7,0.8560000000000001,170.8,69.0,104.4,17.2,0.5237999999999999,-20,7.0,13.0,-6.0,13,1.134,210.6,78.0,135.8,34.8,0.732,19,13.0,7.0,6.0,-0.2779999999999998,-39.79999999999998,-9.0,-31.400000000000006,-17.599999999999998,-0.20820000000000005
Ascent,NRG,13,FUR,8,1,13,1.0779999999999998,196.6,80.0,130.0,20.2,0.7216,13,12.0,9.0,3.0,8,0.8960000000000001,167.6,73.2,108.2,25.0,0.5596,-13,9.0,12.0,-3.0,0.18199999999999972,29.0,6.799999999999997,21.799999999999997,-4.800000000000001,0.16200000000000003
Ascent,NRG,13,LEV,2,1,13,1.376,233.2,85.2,158.2,22.8,0.8176,31,11.0,4.0,7.0,2,0.588,146.4,54.8,97.4,30.8,0.4664,-31,4.0,11.0,-7.0,0.7879999999999999,86.79999999999998,30.400000000000006,60.79999999999998,-8.0,0.3512
Ascent,NRG,13,SEN,8,1,13,1.032,203.2,77.0,129.6,29.2,0.6712,12,10.0,11.0,-1.0,8,0.9199999999999999,186.8,68.4,120.4,20.6,0.5864,-12,11.0,10.0,1.0,0.1120000000000001,16.399999999999977,8.599999999999994,9.199999999999989,8.599999999999998,0.08479999999999999
Ascent,SEN,10,100T,13,0,10,0.976,210.0,72.4,139.4,33.0,0.6294000000000001,-2,10.0,13.0,-3.0,13,1.006,199.4,72.2,129.6,24.8,0.6402,2,13.0,10.0,3.0,-0.030000000000000027,10.599999999999994,0.20000000000000284,9.800000000000011,8.2,-0.01079999999999992
Ascent,SEN,14,100T,12,1,14,1.19,209.6,75.4,134.2,23.8,0.759,19,11.0,15.0,-4.0,12,0.842,177.4,63.0,118.2,23.2,0.5676,-19,15.0,11.0,4.0,0.348,32.19999999999999,12.400000000000006,15.999999999999986,0.6000000000000014,0.19140000000000001
Ascent,SEN,13,C9,9,1,13,1.1600000000000001,228.6,82.8,147.8,27.4,0.7966,20,12.0,10.0,2.0,9,0.8960000000000001,183.4,64.6,123.2,30.0,0.5864,-20,10.0,12.0,-2.0,0.264,45.19999999999999,18.200000000000003,24.60000000000001,-2.6000000000000014,0.21019999999999994
Ascent,SEN,6,G2,13,0,6,0.784,175.0,64.2,111.6,30.8,0.5378000000000001,-18,9.0,10.0,-1.0,13,1.192,212.0,75.6,136.8,30.6,0.7430000000000001,18,10.0,9.0,1.0,-0.4079999999999999,-37.0,-11.399999999999991,-25.200000000000017,0.1999999999999993,-0.20520000000000005
Ascent,SEN,10,G2,13,0,10,0.932,196.2,68.8,133.0,25.0,0.6464000000000001,-13,14.0,9.0,5.0,13,1.16,213.4,81.8,142.0,23.6,0.7283999999999999,13,9.0,14.0,-5.0,-0.22799999999999987,-17.200000000000017,-13.0,-9.0,1.3999999999999986,-0.08199999999999985
Bind,100T,13,EG,4,1,13,1.29,221.4,78.8,139.2,22.6,0.7776,28,12.0,5.0,7.0,4,0.716,149.2,60.2,100.4,24.8,0.4826,-28,5.0,12.0,-7.0,0.5740000000000001,72.20000000000002,18.599999999999994,38.79999999999998,-2.1999999999999993,0.295
