Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
penny,C9,Jett,0.85,192.0,15,14,1,1,75.0,110.0,24.0,3,2,1,1,1,1.0,0.669
Demon1,ENVY,Jett,0.954,231.0,84,83,19,1,67.4,152.0,32.6,19,19,0,5,1,0.2,0.634
koalanoob,FUR,Jett,1.017,228.3,48,47,10,1,71.7,137.3,22.0,10,11,-1,3,2,0.67,0.633
Dantedeu5,KRÜ,Jett,1.087,218.3,33,33,17,0,81.7,142.3,22.7,4,9,-5,3,0,0.0,0.627
Askia,2G,Jett,0.978,213.0,62,62,13,0,74.2,146.5,29.0,13,13,0,4,1,0.25,0.623
Timotino,100T,Jett,0.97,246.0,21,21,2,0,67.0,165.0,31.0,5,6,-1,1,0,0.0,0.615
icy,EG,Jett,0.888,191.0,58,63,8,-5,63.2,117.5,27.0,11,18,-7,4,1,0.25,0.471
Sato,LEV,Jett,0.84,196.5,63,67,9,-4,58.8,127.5,35.2,13,21,-8,4,0,0.0,0.467
havoc,FUR,Jett,0.662,187.6,60,80,13,-20,58.0,118.4,29.6,23,25,-2,5,1,0.2,0.441
infiltrator,KRÜ,Jett,0.73,162.0,11,17,4,-6,62.0,106.0,26.0,3,5,-2,1,0,0.0,0.431
jawgemo,G2,Jett,0.47,114.0,7,17,6,-10,70.0,86.0,26.0,1,4,-3,1,0,0.0,0.383
Mazino,MIBR,Kayo,1.123,217.9,151,139,94,12,73.1,136.3,29.0,19,21,-2,10,3,0.3,0.694
Darker,LOUD,Kayo,1.035,190.0,34,35,18,-1,70.0,120.5,18.0,4,4,0,2,1,0.5,0.557
Okeanos,EG,Kayo,1.015,176.2,46,57,59,-11,79.2,120.5,31.2,5,4,1,4,2,0.5,0.541
JonahP,G2,Kayo,0.995,172.2,70,79,91,-9,81.0,104.7,18.2,11,6,5,6,5,0.83,0.54
NaturE,EG,Kayo,0.937,194.8,84,99,76,-15,78.3,123.0,21.3,11,11,0,6,4,0.67,0.531
cauanzin,LOUD,Kayo,0.875,204.0,26,31,11,-5,60.0,135.0,19.0,3,2,1,2,1,0.5,0.524
Ethan,NRG,Kayo,0.988,183.5,197,225,172,-28,75.4,119.0,23.1,20,24,-4,16,9,0.56,0.512
spike,LEV,Kayo,0.942,193.0,62,74,59,-12,69.0,116.6,24.2,9,10,-1,5,2,0.4,0.501
Asuna,100T,Kayo,0.976,172.4,108,122,104,-14,75.7,106.1,21.6,10,14,-4,9,3,0.33,0.49
Zellsis,C9,Kayo,1.0,181.2,105,118,116,-13,73.1,106.8,21.2,9,13,-4,8,5,0.62,0.49
johnqt,SEN,Kayo,0.975,170.8,52,60,55,-8,76.0,111.5,25.0,3,5,-2,4,2,0.5,0.49
v1nny,LOUD,Kayo,0.878,158.8,48,63,56,-15,73.0,113.0,33.0,1,12,-11,4,1,0.25,0.47
mta,KRÜ,Kayo,0.93,169.5,20,27,17,-7,67.0,110.0,32.5,2,3,-1,2,0,0.0,0.467
artzin,FUR,Kayo,0.777,178.6,187,245,124,-58,67.9,115.7,17.8,34,53,-19,14,7,0.5,0.461
PxS,LEV,Kayo,0.745,152.5,42,63,45,-21,81.2,94.8,25.5,6,10,-4,4,1,0.25,0.456
Rossy,ENVY,Kayo,0.66,126.5,15,29,26,-14,79.0,84.5,21.0,4,4,0,2,1,0.5,0.445
mitch,C9,Kayo,0.6,154.5,19,36,25,-17,57.0,93.0,21.5,1,7,-6,2,0,0.0,0.396
raafa,FUR,Kayo,0.477,130.0,39,91,39,-52,56.3,86.3,20.5,5,14,-9,6,1,0.17,0.366
gobera,2G,Killjoy,2.08,356.0,21,8,2,13,93.0,236.0,31.0,0,1,-1,1,1,1.0,0.818
leaf,G2,Killjoy,1.345,282.0,43,29,5,14,79.0,180.5,24.0,6,2,4,2,1,0.5,0.818
keiko,NRG,Killjoy,1.36,243.7,43,29,9,14,85.3,161.7,31.7,8,0,8,3,2,0.67,0.8
icy,EG,Killjoy,1.15,254.5,49,38,6,11,69.0,172.5,32.5,6,5,1,2,2,1.0,0.76
bao,EG,Killjoy,1.07,208.8,73,62,20,11,73.2,150.0,26.0,7,4,3,4,2,0.5,0.723
artzin,FUR,Killjoy,1.31,180.0,16,11,6,5,75.0,133.0,29.0,1,1,0,1,1,1.0,0.705
skuba,NRG,Killjoy,1.162,189.3,88,69,20,19,77.3,134.8,28.0,7,8,-1,6,4,0.67,0.693
Shyy,KRÜ,Killjoy,1.076,177.8,73,59,14,14,73.4,116.2,22.8,7,6,1,5,0,0.0,0.674
Inspire,ENVY,Killjoy,1.19,180.5,37,30,14,7,70.5,133.0,23.5,3,5,-2,2,1,0.5,0.663
Zellsis,C9,Killjoy,1.003,194.9,124,120,29,4,70.7,132.4,24.4,20,19,1,9,6,0.67,0.637
s0m,NRG,Killjoy,0.94,201.0,43,44,12,-1,76.3,132.3,32.0,9,5,4,3,3,1.0,0.605
lukxo,LOUD,Killjoy,0.928,213.6,74,75,14,-1,61.6,143.4,32.4,13,15,-2,5,0,0.0,0.561
Xeppaa,C9,Killjoy,0.893,185.4,98,107,25,-9,71.4,128.4,24.6,10,10,0,7,5,0.71,0.512
yay,EG,Killjoy,0.875,171.5,24,31,10,-7,66.0,117.0,21.0,7,3,4,2,1,0.5,0.507
Kess,100T,Killjoy,0.76,160.0,25,36,10,-11,67.5,117.0,25.5,5,3,2,2,0,0.0,0.492
cortezia,SEN,Killjoy,0.911,174.6,172,183,51,-11,68.9,125.1,30.2,17,27,-10,13,11,0.85,0.492
tex,MIBR,Killjoy,0.83,177.7,167,184,25,-17,68.4,120.8,35.3,19,29,-10,12,2,0.17,0.471
Boostio,100T,Killjoy,0.73,172.4,95,131,21,-36,59.7,117.1,29.7,19,19,0,7,3,0.43,0.46
RobbieBk,LOUD,Killjoy,0.73,159.5,27,35,5,-8,60.5,113.5,34.0,2,2,0,2,1,0.5,0.453
neT,C9,Killjoy,0.69,149.0,37,53,10,-16,69.0,101.0,27.3,4,4,0,3,1,0.33,0.451
Rossy,ENVY,Killjoy,0.9,151.0,15,20,6,-5,63.0,107.0,30.0,0,1,-1,1,0,0.0,0.446
NagZ,KRÜ,Killjoy,0.87,142.0,18,28,10,-10,64.0,110.5,25.5,1,3,-2,2,0,0.0,0.443
heat,FUR,Killjoy,0.68,145.0,9,12,0,-3,56.0,100.0,36.0,0,0,0,1,0,0.0,0.423
FiNESSE,NRG,Killjoy,0.71,133.2,49,72,16,-23,68.6,94.4,20.2,4,8,-4,5,2,0.4,0.42
silentzz,2G,Killjoy,0.64,153.5,20,33,2,-13,57.5,100.0,21.5,0,2,-2,2,0,0.0,0.405
Urango,FUR,Killjoy,0.205,114.0,10,30,3,-20,45.0,82.0,20.0,2,8,-6,2,0,0.0,0.334
spike,LEV,Neon,1.094,263.9,132,109,31,23,71.6,167.6,22.1,37,30,7,7,3,0.43,0.76
dgzin,EG,Neon,1.181,248.9,155,121,29,34,74.0,155.2,26.6,43,24,19,8,5,0.62,0.759
zekken,MIBR,Neon,1.165,239.0,254,206,72,48,75.5,150.3,26.7,63,53,10,15,10,0.67,0.752
jawgemo,G2,Neon,1.04,244.5,107,97,25,10,73.2,149.0,24.0,29,19,10,6,5,0.83,0.736
Demon1,ENVY,Neon,1.14,262.0,22,18,3,4,65.0,172.0,26.0,4,4,0,1,0,0.0,0.734
OXY,C9,Neon,1.029,243.1,259,240,58,19,71.6,154.6,29.9,66,60,6,14,7,0.5,0.732
mada,NRG,Neon,1.067,226.6,223,193,49,30,67.8,142.5,29.4,55,50,5,13,6,0.46,0.711
N4RRATE,SEN,Neon,1.0,229.0,39,35,7,4,62.0,150.0,32.0,8,7,1,2,0,0.0,0.704
Sato,LEV,Neon,1.025,240.8,71,62,15,9,74.0,154.0,33.5,12,16,-4,4,2,0.5,0.696
aspas,MIBR,Neon,0.946,214.6,139,133,32,6,67.0,141.2,25.8,34,27,7,8,3,0.38,0.678
keiko,NRG,Neon,1.05,212.5,34,31,7,3,69.5,137.5,26.5,2,6,-4,2,1,0.5,0.665
keznit,ENVY,Neon,0.987,227.0,121,119,30,2,70.2,150.3,24.8,26,31,-5,6,1,0.17,0.628
Timotino,100T,Neon,0.89,227.5,35,36,10,-1,63.5,145.5,38.5,9,7,2,2,1,0.5,0.585
havoc,FUR,Neon,0.828,216.5,70,76,17,-6,68.5,133.2,36.8,22,15,7,4,1,0.25,0.539
alym,FUR,Neon,0.845,190.5,30,35,10,-5,72.5,122.5,29.0,8,5,3,2,1,0.5,0.529
Asuna,100T,Neon,0.887,199.6,260,299,106,-39,70.7,130.6,25.2,66,72,-6,19,9,0.47,0.506
penny,C9,Neon,0.89,203.0,56,60,21,-4,66.3,133.0,23.3,11,16,-5,3,2,0.67,0.493
