Jogador,Time,Mapa,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
Boostio,100T,Pearl,0.615,152.5,48,74,11,-26,56.5,101.8,27.0,9,12,-3,4,0,0.0,0.693
raafa,FUR,Pearl,0.61,161.0,23,41,12,-18,57.0,105.3,15.3,2,9,-7,3,0,0.0,0.69
Khalil,FUR,Pearl,0.643,142.0,23,39,8,-16,56.0,94.3,26.0,3,5,-2,3,0,0.0,0.685
Governor,KRÜ,Pearl,0.625,138.0,23,35,6,-12,54.0,88.0,22.5,4,7,-3,2,0,0.0,0.663
Darker,LOUD,Pearl,0.32,71.0,3,13,3,-10,67.0,55.0,6.0,1,0,1,1,0,0.0,0.634
pryze,FUR,Pearl,0.543,125.7,19,38,5,-19,56.0,85.7,22.7,2,5,-3,3,0,0.0,0.632
havoc,FUR,Pearl,0.403,137.3,22,43,3,-21,48.7,85.0,24.3,7,11,-4,3,0,0.0,0.606
keznit,ENVY,Split,1.298,256.2,102,68,16,34,79.0,162.6,20.0,16,10,6,5,0,0.0,1.286
OXY,C9,Split,1.3,247.5,43,28,5,15,79.5,151.0,24.0,10,2,8,2,2,1.0,1.276
koalanoob,FUR,Split,1.317,232.7,48,31,10,17,79.7,157.0,20.7,11,8,3,3,3,1.0,1.271
lukxo,LOUD,Split,1.22,270.3,68,49,14,19,70.3,171.3,30.3,15,10,5,3,0,0.0,1.266
Cryocells,100T,Split,1.194,239.6,186,154,55,32,75.7,160.5,27.4,24,13,11,10,5,0.5,1.238
mada,NRG,Split,1.2,236.7,55,46,14,9,74.7,153.3,31.0,15,11,4,3,1,0.33,1.232
nzr,MIBR,Split,1.232,208.2,58,54,42,4,79.8,146.0,24.8,6,1,5,4,3,0.75,1.222
zekken,MIBR,Split,1.147,245.5,212,173,55,39,74.5,153.8,24.7,59,35,24,12,7,0.58,1.217
Xeppaa,C9,Split,1.272,226.2,71,50,41,21,84.2,146.8,27.0,1,5,-4,4,4,1.0,1.214
Shyy,KRÜ,Split,1.208,203.0,65,49,22,16,80.5,142.2,27.8,6,3,3,4,0,0.0,1.212
leaf,G2,Split,1.188,242.8,177,144,64,33,73.3,156.5,24.5,25,23,2,10,7,0.7,1.211
nataNk,LEV,Split,1.235,216.0,34,27,17,7,76.0,149.0,30.5,6,6,0,2,1,0.5,1.201
Neon,LEV,Split,1.12,233.0,20,16,3,4,78.0,135.0,25.0,8,2,6,1,1,1.0,1.194
mta,KRÜ,Split,1.14,220.0,18,17,2,1,78.0,129.0,20.0,5,2,3,1,0,0.0,1.18
jawgemo,G2,Split,1.089,228.4,161,149,53,12,72.3,147.4,19.5,39,28,11,10,7,0.7,1.169
johnqt,SEN,Split,1.145,207.6,163,139,70,24,78.0,138.4,25.8,11,9,2,11,6,0.55,1.169
Reduxx,SEN,Split,1.075,225.5,43,38,11,5,69.0,148.0,33.5,9,7,2,2,0,0.0,1.167
Inspire,ENVY,Split,0.98,209.0,18,17,6,1,83.0,136.0,47.0,5,1,4,1,0,0.0,1.165
Sato,LEV,Split,1.033,230.7,54,47,13,7,69.7,145.7,36.0,11,9,2,3,1,0.33,1.161
bang,100T,Split,1.081,203.4,210,198,115,12,77.9,130.4,35.0,27,19,8,14,8,0.57,1.153
eeiu,FUR,Split,1.099,201.0,114,102,44,12,73.8,133.2,25.6,12,6,6,8,6,0.75,1.15
aspas,MIBR,Split,1.102,213.4,207,167,35,40,74.7,135.4,21.5,44,41,3,12,7,0.58,1.148
Verno,MIBR,Split,1.142,199.0,126,107,55,19,77.1,136.9,21.8,9,11,-2,8,4,0.5,1.133
dgzin,EG,Split,1.053,223.6,123,112,26,11,69.3,144.7,24.3,23,23,0,7,2,0.29,1.124
trent,G2,Split,1.127,192.5,140,121,56,19,78.0,133.9,28.9,10,14,-4,10,7,0.7,1.122
icy,EG,Split,1.085,240.8,71,69,16,2,73.0,165.8,19.2,11,12,-1,4,1,0.25,1.119
neT,C9,Split,1.06,174.0,14,12,3,2,76.0,119.0,30.0,2,0,2,1,1,1.0,1.116
vora,100T,Split,1.086,219.8,85,85,44,0,78.0,148.4,31.4,9,7,2,5,2,0.4,1.11
v1c,C9,Split,0.975,196.0,62,58,35,4,82.2,125.5,25.2,12,12,0,4,4,1.0,1.1
valyn,G2,Split,1.031,199.0,144,136,67,8,76.9,129.4,23.6,9,21,-12,10,7,0.7,1.066
penny,C9,Split,0.98,205.3,50,46,15,4,75.0,128.7,19.3,5,10,-5,3,3,1.0,1.06
artzin,FUR,Split,0.993,213.3,189,182,88,7,74.7,133.8,21.6,29,33,-4,12,9,0.75,1.053
nerve,FUR,Split,0.957,189.7,39,35,17,4,78.7,119.7,18.3,3,4,-1,3,3,1.0,1.051
xenom,MIBR,Split,0.992,170.6,124,113,63,11,76.1,110.2,28.0,11,15,-4,9,6,0.67,1.037
kiNgg,LEV,Split,1.024,200.0,106,105,35,1,74.4,128.7,31.1,20,21,-1,7,2,0.29,1.033
NagZ,KRÜ,Split,0.98,171.0,16,15,2,1,65.0,140.0,33.0,1,3,-2,1,0,0.0,1.028
alym,FUR,Split,0.937,211.3,38,40,13,-2,83.0,141.0,29.3,8,5,3,3,3,1.0,1.018
Demon1,ENVY,Split,1.005,195.5,91,89,25,2,71.0,131.5,32.2,10,19,-9,6,3,0.5,1.014
havoc,FUR,Split,0.98,237.5,30,32,7,-2,69.5,156.5,26.0,9,5,4,2,0,0.0,0.999
pryze,2G,Split,0.995,208.5,25,28,10,-3,80.0,143.0,23.0,2,0,2,2,0,0.0,0.996
Melser,KRÜ,Split,1.075,170.2,48,49,30,-1,77.5,114.2,31.0,4,7,-3,4,0,0.0,0.975
cortezia,SEN,Split,0.883,195.0,163,171,70,-8,74.7,127.1,27.5,24,13,11,11,6,0.55,0.949
blowz,LEV,Split,0.943,194.0,44,46,14,-2,83.0,129.7,24.3,1,4,-3,3,1,0.33,0.943
N4RRATE,SEN,Split,0.991,188.8,154,161,102,-7,79.5,117.1,21.0,16,24,-8,11,6,0.55,0.933
gobera,2G,Split,0.89,190.0,10,12,7,-2,87.0,116.0,29.0,1,1,0,1,0,0.0,0.928
Zellsis,C9,Split,0.962,181.6,152,158,71,-6,72.3,118.8,21.7,20,26,-6,12,9,0.75,0.911
adverso,KRÜ,Split,0.928,211.0,59,67,20,-8,72.8,144.2,24.8,9,15,-6,4,0,0.0,0.91
Khalil,FUR,Split,0.97,197.5,30,32,7,-2,72.0,127.0,38.0,4,5,-1,2,0,0.0,0.909
Mazino,MIBR,Split,0.95,185.1,95,105,65,-10,74.0,129.1,24.9,13,16,-3,7,1,0.14,0.892
skuba,NRG,Split,0.94,188.0,45,48,10,-3,70.3,120.0,21.7,6,6,0,3,1,0.33,0.892
pANcada,LOUD,Split,0.904,178.6,99,117,48,-18,67.7,120.1,33.6,12,11,1,7,2,0.29,0.885
brawk,NRG,Split,1.01,175.7,41,44,20,-3,67.0,131.0,24.0,2,4,-2,3,1,0.33,0.881
yay,EG,Split,0.902,183.8,57,64,13,-7,58.5,116.8,35.0,13,10,3,4,1,0.25,0.88
silentzz,2G,Split,0.79,210.0,10,14,3,-4,60.0,124.0,37.0,4,3,1,1,0,0.0,0.877
zander,100T,Split,0.952,167.6,59,66,39,-7,75.4,107.6,24.8,6,7,-1,5,3,0.6,0.877
C0M,EG,Split,0.883,187.0,51,64,33,-13,77.5,127.2,18.8,2,8,-6,4,1,0.25,0.871
Asuna,100T,Split,0.872,188.9,139,169,69,-30,77.5,125.4,19.3,25,39,-14,10,5,0.5,0.869
Timotino,100T,Split,0.758,204.2,82,98,14,-16,62.0,135.8,27.0,29,26,3,5,2,0.4,0.869
tuyz,LOUD,Split,0.865,170.8,81,102,48,-21,70.2,114.2,30.5,11,11,0,6,2,0.33,0.859
Rossy,ENVY,Split,0.89,194.7,44,49,22,-5,63.3,129.3,29.3,3,6,-3,3,0,0.0,0.853
infiltrator,KRÜ,Split,0.87,205.0,17,19,7,-2,65.0,133.0,19.0,2,5,-3,1,0,0.0,0.852
keiko,NRG,Split,0.89,164.0,41,45,19,-4,72.3,100.7,40.0,1,7,-6,3,1,0.33,0.839
BABYBAY,G2,Split,0.762,186.5,49,60,31,-11,64.5,117.0,15.8,11,9,2,4,3,0.75,0.837
Derrek,EG,Split,0.845,175.5,54,63,27,-9,70.2,115.0,34.5,4,8,-4,4,1,0.25,0.836
cauanzin,LOUD,Split,0.87,186.9,98,118,37,-20,64.6,124.3,23.6,13,25,-12,7,2,0.29,0.835
JonahP,G2,Split,0.872,151.2,68,79,52,-11,73.2,96.5,20.3,8,8,0,6,4,0.67,0.83
tex,MIBR,Split,0.803,160.3,91,107,18,-16,66.3,108.1,36.3,12,13,-1,7,2,0.29,0.814
PxS,LEV,Split,0.865,168.5,25,29,12,-4,65.0,114.5,22.0,0,3,-3,2,0,0.0,0.811
Governor,KRÜ,Split,0.83,164.0,11,16,11,-5,70.0,113.0,21.0,0,2,-2,1,0,0.0,0.808
mitch,C9,Split,0.71,155.0,10,17,12,-7,71.0,101.0,22.0,3,2,1,1,1,1.0,0.808
Boostio,100T,Split,0.78,136.6,48,70,37,-22,73.2,90.0,32.4,7,6,1,5,3,0.6,0.807
benG,KRÜ,Split,0.82,158.0,13,17,5,-4,61.0,112.0,39.0,0,3,-3,1,0,0.0,0.791
mwzera,FUR,Split,0.77,155.0,9,13,4,-4,63.0,98.0,12.0,3,1,2,1,0,0.0,0.791
Ethan,NRG,Split,0.823,155.0,33,50,28,-17,69.0,100.3,19.3,7,9,-2,3,1,0.33,0.784
spike,LEV,Split,0.747,162.7,39,49,11,-10,60.0,104.0,24.7,8,8,0,3,1,0.33,0.775
P0PPIN,ENVY,Split,0.75,156.0,12,18,6,-6,58.0,95.0,14.0,2,1,1,1,0,0.0,0.772
v1nny,LOUD,Split,0.788,130.6,56,79,34,-23,69.6,90.8,38.6,3,5,-2,5,2,0.4,0.771
lz,2G,Split,0.61,133.0,7,13,3,-6,53.0,102.0,41.0,3,1,2,1,0,0.0,0.728
supamen,EG,Split,0.7,154.0,46,66,18,-20,62.0,98.0,23.0,7,10,-3,4,1,0.25,0.728
raafa,FUR,Split,0.715,130.5,17,29,19,-12,67.0,88.5,18.5,1,3,-2,2,0,0.0,0.716
Kyu,SEN,Split,0.685,148.0,24,39,9,-15,61.5,98.5,18.0,1,4,-3,2,0,0.0,0.713
NaturE,EG,Split,0.628,138.5,41,65,20,-24,63.0,92.0,20.5,5,6,-1,4,1,0.25,0.702
Eggsterr,ENVY,Split,0.63,151.0,12,18,5,-6,63.0,91.0,19.0,1,3,-2,1,0,0.0,0.698
heat,FUR,Split,0.645,146.0,19,32,5,-13,49.5,101.0,33.5,2,6,-4,2,0,0.0,0.683
Zap,2G,Split,0.55,138.0,5,14,10,-9,60.0,105.0,14.0,0,1,-1,1,0,0.0,0.66
spike,LEV,Sunset,1.47,315.7,65,37,17,28,84.7,200.0,22.3,16,9,7,3,0,0.0,1.402
BABYBAY,G2,Sunset,1.385,271.5,39,27,12,12,88.5,180.0,21.5,9,4,5,2,2,1.0,1.366
Shyy,KRÜ,Sunset,1.42,268.0,37,24,9,13,73.5,184.0,38.5,3,6,-3,2,0,0.0,1.301
lukxo,LOUD,Sunset,1.25,253.0,34,29,8,5,80.5,171.5,39.0,5,3,2,2,1,0.5,1.297
keznit,ENVY,Sunset,1.27,277.0,37,26,12,11,76.0,172.0,16.0,7,4,3,2,0,0.0,1.288
N4RRATE,SEN,Sunset,1.243,250.2,71,58,34,13,75.0,168.0,25.2,13,9,4,4,2,0.5,1.263
kiNgg,LEV,Sunset,1.333,239.3,50,35,23,15,79.0,148.0,32.3,4,4,0,3,2,0.67,1.259
silentzz,2G,Sunset,1.267,206.3,49,30,6,19,77.0,141.0,54.7,5,4,1,3,0,0.0,1.235
Mazino,MIBR,Sunset,1.27,221.0,31,22,11,9,76.0,149.5,23.0,4,2,2,2,0,0.0,1.234
pANcada,LOUD,Sunset,1.175,211.0,26,24,15,2,81.5,143.0,41.5,3,2,1,2,1,0.5,1.223
gobera,2G,Sunset,1.207,219.0,45,36,31,9,77.0,143.0,33.0,5,1,4,3,0,0.0,1.22
leaf,G2,Sunset,1.3,239.0,19,15,3,4,73.0,159.0,19.0,1,2,-1,1,1,1.0,1.203
zekken,MIBR,Sunset,1.082,251.2,71,63,20,8,73.2,159.8,20.8,20,14,6,4,2,0.5,1.199
JonahP,G2,Sunset,1.19,200.7,47,37,20,10,77.0,131.7,29.3,6,3,3,3,3,1.0,1.189
jawgemo,G2,Sunset,1.06,243.0,54,48,10,6,74.3,147.0,24.0,14,10,4,3,3,1.0,1.182
tex,MIBR,Sunset,1.07,197.0,41,38,15,3,79.3,132.0,37.0,10,7,3,3,2,0.67,1.162
lz,2G,Sunset,1.127,181.0,38,29,26,9,81.0,115.7,42.3,6,5,1,3,0,0.0,1.154
xenom,MIBR,Sunset,1.055,181.0,28,24,9,4,84.0,114.0,30.0,5,0,5,2,1,0.5,1.138
Sato,LEV,Sunset,1.043,237.7,50,44,15,6,75.3,151.3,30.3,8,11,-3,3,2,0.67,1.135
bang,100T,Sunset,1.042,200.2,60,57,34,3,77.8,124.0,30.5,8,1,7,4,2,0.5,1.121
Okeanos,EG,Sunset,1.157,198.7,39,39,45,0,84.0,136.0,31.0,3,2,1,3,2,0.67,1.118
C0M,EG,Sunset,1.107,204.7,42,36,14,6,74.0,128.3,26.7,4,5,-1,3,2,0.67,1.111
pryze,2G,Sunset,1.087,187.3,38,36,19,2,73.0,127.3,28.3,5,2,3,3,0,0.0,1.106
aspas,MIBR,Sunset,0.92,205.0,30,27,7,3,66.5,141.0,25.0,6,5,1,2,1,0.5,1.084
johnqt,SEN,Sunset,1.08,189.2,61,52,20,9,71.5,130.0,29.5,4,7,-3,4,2,0.5,1.08
artzin,FUR,Sunset,0.98,214.5,28,27,5,1,74.5,138.5,33.5,7,7,0,2,1,0.5,1.075
Virtyy,LOUD,Sunset,1.045,247.0,31,30,7,1,65.0,144.5,29.5,6,8,-2,2,1,0.5,1.07
cauanzin,LOUD,Sunset,1.065,190.5,25,25,23,0,81.5,116.0,25.0,2,0,2,2,1,0.5,1.063
valyn,G2,Sunset,1.013,185.0,43,42,28,1,73.3,120.7,32.7,4,4,0,3,3,1.0,1.031
cortezia,SEN,Sunset,0.84,206.0,32,30,4,2,70.5,129.5,36.5,0,3,-3,2,1,0.5,1.022
Melser,KRÜ,Sunset,1.075,134.5,22,18,21,4,79.0,90.0,20.5,0,1,-1,2,0,0.0,1.016
eeiu,FUR,Sunset,1.002,195.8,52,52,14,0,67.0,134.5,30.8,6,6,0,4,1,0.25,1.003
Cryocells,100T,Sunset,0.96,213.5,53,57,21,-4,72.0,139.5,26.0,9,5,4,4,1,0.25,0.968
Zellsis,C9,Sunset,1.03,180.2,48,56,58,-8,83.2,118.8,22.5,4,4,0,4,2,0.5,0.949
mada,NRG,Sunset,0.903,215.8,61,69,20,-8,64.8,135.8,33.5,20,19,1,4,0,0.0,0.923
adverso,FUR,Sunset,0.905,212.0,23,30,8,-7,64.0,141.0,18.5,2,1,1,2,0,0.0,0.921
icy,EG,Sunset,0.9,189.0,14,15,1,-1,65.0,139.0,35.0,1,0,1,1,0,0.0,0.918
trent,G2,Sunset,0.973,170.7,38,42,25,-4,78.0,116.0,27.0,2,4,-2,3,3,1.0,0.887
brawk,NRG,Sunset,0.895,195.5,52,68,27,-16,66.0,139.2,18.0,3,3,0,4,0,0.0,0.884
Derrek,EG,Sunset,0.88,184.0,13,15,6,-2,65.0,124.0,41.0,0,0,0,1,0,0.0,0.876
Ethan,NRG,Sunset,0.875,164.0,45,63,33,-18,65.2,115.8,26.0,6,4,2,4,0,0.0,0.866
zander,100T,Sunset,0.88,189.2,48,55,25,-7,74.0,121.0,25.5,3,10,-7,4,1,0.25,0.865
NaturE,EG,Sunset,0.74,195.0,13,17,8,-4,80.0,110.0,29.0,1,2,-1,1,0,0.0,0.837
Asuna,100T,Sunset,0.837,185.0,44,54,21,-10,69.5,118.0,25.0,8,17,-9,4,1,0.25,0.833
supamen,EG,Sunset,1.01,159.0,13,14,6,-1,60.0,89.0,41.0,1,2,-1,1,0,0.0,0.83
Verno,MIBR,Sunset,0.7,167.5,20,28,16,-8,64.0,119.0,28.0,4,2,2,2,1,0.5,0.816
Dantedeu5,KRÜ,Sunset,0.835,177.5,23,26,11,-3,63.0,122.0,18.5,3,8,-5,2,0,0.0,0.805
heat,FUR,Sunset,0.755,188.0,21,28,2,-7,60.5,124.5,32.0,0,3,-3,2,0,0.0,0.797
Kess,100T,Sunset,0.75,154.0,39,51,9,-12,67.8,98.0,35.2,4,4,0,4,1,0.25,0.795
skuba,NRG,Sunset,0.85,154.2,45,59,29,-14,63.0,101.0,26.0,2,4,-2,4,0,0.0,0.783
RobbieBk,LOUD,Sunset,0.81,117.5,18,24,5,-6,65.0,82.5,44.5,4,5,-1,2,1,0.5,0.748
yay,EG,Sunset,0.66,161.0,9,17,7,-8,55.0,115.0,21.0,6,7,-1,1,0,0.0,0.714
s0m,NRG,Sunset,0.64,152.0,44,68,19,-24,55.8,104.0,36.5,6,16,-10,4,0,0.0,0.708
tuyz,FUR,Sunset,0.565,147.0,16,30,13,-14,64.0,92.0,34.0,2,6,-4,2,0,0.0,0.692
Urango,FUR,Sunset,0.525,119.0,13,29,8,-16,63.5,88.0,37.5,0,4,-4,2,0,0.0,0.656
Palla,FUR,Sunset,0.34,154.5,17,33,2,-16,48.5,94.0,26.5,3,12,-9,2,0,0.0,0.628
